car_id,brand_code,model,plate_number,manufacture_year,color,seats,fuel_type,daily_rate,status,last_service_at
CAR-00001,HONDA,Civic,51A-00001,2016,black,5,DIESEL,462500.00,AVAILABLE,2026-08-01 09:00:00
CAR-00002,FORD,Ranger,51A-00002,2017,blue,6,HYBRID,475000.00,AVAILABLE,2026-08-02 09:00:00
CAR-00003,TOYOTA,Corolla,51A-00003,2018,white,4,ELECTRIC,487500.00,AVAILABLE,2026-08-03 09:00:00
CAR-00004,HONDA,Civic,51A-00004,2019,black,5,LPG,500000.00,AVAILABLE,2026-08-04 09:00:00
CAR-00005,FORD,Ranger,51A-00005,2020,blue,6,PETROL,512500.00,AVAILABLE,2026-08-05 09:00:00
CAR-00006,TOYOTA,Corolla,51A-00006,2021,white,4,DIESEL,525000.00,AVAILABLE,2026-08-06 09:00:00
CAR-00007,HONDA,Civic,51A-00007,2022,black,5,HYBRID,537500.00,AVAILABLE,2026-08-07 09:00:00
CAR-00008,FORD,Ranger,51A-00008,2023,blue,6,ELECTRIC,550000.00,AVAILABLE,2026-08-08 09:00:00
CAR-00009,TOYOTA,Corolla,51A-00009,2024,white,4,LPG,562500.00,AVAILABLE,2026-08-09 09:00:00
CAR-00010,HONDA,Civic,51A-00010,2015,black,5,PETROL,575000.00,AVAILABLE,2026-08-10 09:00:00
CAR-00011,FORD,Ranger,51A-00011,2016,blue,6,DIESEL,587500.00,AVAILABLE,2026-08-11 09:00:00
CAR-00012,TOYOTA,Corolla,51A-00012,2017,white,4,HYBRID,600000.00,AVAILABLE,2026-08-12 09:00:00
CAR-00013,HONDA,Civic,51A-00013,2018,black,5,ELECTRIC,612500.00,AVAILABLE,2026-08-13 09:00:00
CAR-00014,FORD,Ranger,51A-00014,2019,blue,6,LPG,625000.00,AVAILABLE,2026-08-14 09:00:00
CAR-00015,TOYOTA,Corolla,51A-00015,2020,white,4,PETROL,637500.00,AVAILABLE,2026-08-15 09:00:00
CAR-00016,HONDA,Civic,51A-1234,2016,black,5,DIESEL,462500.00,AVAILABLE,2026-08-01 09:00:00
CAR-00017,FORD,Ranger,51A-00002,2017,blue,6,STEAM,-10.00,AVAILABLE,2026-08-02 09:00:00
CAR-00018,TOYOTA,Corolla,51A-00003,1970,white,4,ELECTRIC,487500.00,AVAILABLE,2026-08-03 09:00:00
CAR-00019,HONDA,MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM,51A-00004,2019,black,5,LPG,500000.00,AVAILABLE,2026-08-04 09:00:00
CAR-00020,FORD,Ranger,51A-00005,2020,blue,many,PETROL,512500.00,AVAILABLE,2026-08-05 09:00:00
